Station,Year,Rides
40260,2004,2267221
40260,2005,2212400
40260,2006,2509290
40260,2007,2901730
40260,2008,2972627
40260,2009,2819938
40260,2010,2838457
40260,2011,2991973
40260,2012,3066468
40260,2013,3043562
40260,2014,3092206
40260,2015,3295794
40260,2016,3146801
40260,2017,3046714
40270,2001,376149
40270,2002,382557
40270,2003,379810
40270,2004,361356
40270,2005,362693
40270,2006,366894
40270,2007,346794
40270,2008,373553
40270,2009,383228
40270,2010,365124
40270,2011,381370
40270,2012,385582
40270,2013,382038
40270,2014,403441
40270,2015,398927
40270,2016,391531
40270,2017,357631
40280,2001,718501
40280,2002,685817
40280,2003,684751
40280,2004,662664
40280,2005,682028
40280,2006,728140
40280,2007,713853
40280,2008,796453
40280,2009,766980
40280,2010,760974
40280,2011,766907
40280,2012,767225
40280,2013,729811
40280,2014,744208
40280,2015,750944
40280,2016,647701
40280,2017,574319
40290,2001,539096
40290,2002,536030
40290,2003,532229
40290,2004,542645
40290,2005,544067
40290,2006,587401
40290,2007,560988
40290,2008,530827
40290,2009,483537
40290,2010,471502
40290,2011,495887
40290,2012,498400
40290,2013,738675
40290,2014,479337
40290,2015,442791
40290,2016,376696
40290,2017,338883
40300,2001,194583
40300,2002,194376
40300,2003,188244
40300,2004,187326
40300,2005,188183
40300,2006,217199
40300,2007,246411
40300,2008,264935
40300,2009,259840
40300,2010,270395
40300,2011,295296
40300,2012,295783
40300,2013,371138
40300,2014,314498
40300,2015,297134
40300,2016,271887
40300,2017,246863
40310,2001,937176
40310,2002,922415
40310,2003,920661
40310,2004,917026
40310,2005,966395
40310,2006,1027076
40310,2007,1014041
40310,2008,1045515
40310,2009,985592
40310,2010,981177
40310,2011,1033162
40310,2012,1105701
40310,2013,1154837
40310,2014,1293781
40310,2015,1334995
40310,2016,1202163
40310,2017,1073887
40320,2001,1306043
40320,2002,1312293
40320,2003,1312914
40320,2004,1328657
40320,2005,1395472
40320,2006,1444216
40320,2007,1306349
40320,2008,1482204
40320,2009,1412621
40320,2010,1587741
40320,2011,1762967
40320,2012,1853514
40320,2013,1913174
40320,2014,2060309
40320,2015,1991499
40320,2016,1929330
40320,2017,1734375
40330,2001,2892489
40330,2002,3011024
40330,2003,3172745
40330,2004,3095101
40330,2005,3291750
40330,2006,3484969
40330,2007,2922523
40330,2008,2708718
40330,2009,3219058
40330,2010,3257970
40330,2011,3545635
40330,2012,3773949
40330,2013,3829697
40330,2014,4184844
40330,2015,4349630
40330,2016,4302686
40330,2017,3769939
40340,2001,1086547
40340,2002,1144489
40340,2003,1123460
40340,2004,1085123
40340,2005,1078917
40340,2006,1091215
40340,2007,1018882
40340,2008,1065680
40340,2009,1073576
40340,2010,1098496
40340,2011,1095958
40340,2012,941114
40340,2013,1039612
40340,2014,1180973
40340,2015,1178291
40340,2016,1159261
40340,2017,1013603
40350,2001,1143302
40350,2002,1350077
40350,2003,1398751
40350,2004,1364987
40350,2005,1414985
40350,2006,1417008
40350,2007,1286209
40350,2008,1406969
40350,2009,1340464
40350,2010,1461571
40350,2011,1666939
40350,2012,1726553
40350,2013,1715302
40350,2014,1695108
40350,2015,1676810
40350,2016,1725557
40350,2017,1594900
40360,2001,769572
40360,2002,753591
40360,2003,801123
40360,2004,774018
40360,2005,814700
40360,2006,846197
40360,2007,201410
40360,2008,711316
40360,2009,917024
40360,2010,897700
40360,2011,942758
40360,2012,1010096
40360,2013,1043856
40360,2014,1060530
40360,2015,1042720
40360,2016,1126200
40360,2017,1056381
40370,2001,2603326
40370,2002,2665224
40370,2003,2618012
40370,2004,2724638
40370,2005,2907509
40370,2006,2519561
40370,2007,2117873
40370,2008,2154152
40370,2009,1977986
40370,2010,2335025
40370,2011,2617073
40370,2012,2806123
40370,2013,3175901
40370,2014,3431799
40370,2015,3633658
40370,2016,3804955
40370,2017,3608445
40380,2001,4272228
40380,2002,4110850
40380,2003,4078533
40380,2004,4066230
40380,2005,4305354
40380,2006,4623730
40380,2007,4750393
40380,2008,5260786
40380,2009,5107625
40380,2010,5166698
40380,2011,5379051
40380,2012,5650945
40380,2013,5543559
40380,2014,5573235
40380,2015,5997069
40380,2016,5972666
40380,2017,5596558
40390,2001,1052539
40390,2002,1084487
40390,2003,1087888
40390,2004,1089592
40390,2005,1116337
40390,2006,1141199
40390,2007,1167425
40390,2008,1249061
40390,2009,1153305
40390,2010,1146097
40390,2011,1189771
40390,2012,1204232
40390,2013,1155802
40390,2014,1157040
40390,2015,1135352
40390,2016,1101467
40390,2017,971117
40400,2001,188872
40400,2002,193200
40400,2003,198571
40400,2004,193749
40400,2005,179963
40400,2006,181270
40400,2007,196965
40400,2008,220197
40400,2009,223637
40400,2010,221997
40400,2011,241092
40400,2012,243947
40400,2013,245804
40400,2014,256118
40400,2015,257335
40400,2016,277442
40400,2017,265073
40420,2001,230808
40420,2002,194792
40420,2003,166801
40420,2004,178702
40420,2005,258742
40420,2006,308520
40420,2007,332647
40420,2008,377096
40420,2009,368220
40420,2010,377243
40420,2011,402926
40420,2012,443262
40420,2013,430001
40420,2014,448677
40420,2015,455069
40420,2016,425955
40420,2017,370778
40430,2001,688298
40430,2002,724631
40430,2003,752593
40430,2004,764276
40430,2005,816428
40430,2006,847176
40430,2007,772533
40430,2008,830196
40430,2009,780218
40430,2010,862548
40430,2011,963941
40430,2012,1040401
40430,2013,1061444
40430,2014,1116639
40430,2015,1174021
40430,2016,1191229
40430,2017,1032876
40440,2001,204142
40440,2002,182814
40440,2003,134346
40440,2004,150848
40440,2005,253619
40440,2006,299429
40440,2007,326506
40440,2008,370328
40440,2009,361801
40440,2010,389646
40440,2011,421248
40440,2012,452047
40440,2013,454842
40440,2014,468229
40440,2015,520389
40440,2016,495734
40440,2017,412605
40450,2001,4337821
40450,2002,4275058
40450,2003,4169218
40450,2004,4152708
40450,2005,4245078
40450,2006,4324234
40450,2007,4281616
40450,2008,4372074
40450,2009,4068944
40450,2010,4023880
40450,2011,4071105
40450,2012,3982594
40450,2013,1996862
40450,2014,3669599
40450,2015,3676215
40450,2016,3468728
40450,2017,3014278
40460,2001,1575678
40460,2002,1497122
40460,2003,1487403
40460,2004,1413038
40460,2005,1407294
40460,2006,1524159
40460,2007,1547645
40460,2008,1644103
40460,2009,1626947
40460,2010,1688516
40460,2011,1812182
40460,2012,1916772
40460,2013,1927931
40460,2014,2100263
40460,2015,2091451
40460,2016,2219219
40460,2017,2093544
40470,2001,621750
40470,2002,644707
40470,2003,652588
40470,2004,639888
40470,2005,656656
40470,2006,657698
40470,2007,619126
40470,2008,636239
40470,2009,609172
40470,2010,638034
40470,2011,735696
40470,2012,727189
40470,2013,751720
40470,2014,757731
40470,2015,733620
40470,2016,674154
40470,2017,602615
40480,2001,410759
40480,2002,390593
40480,2003,376264
40480,2004,368166
40480,2005,405883
40480,2006,426721
40480,2007,455465
40480,2008,475745
40480,2009,462871
40480,2010,461451
40480,2011,459871
40480,2012,483875
40480,2013,456023
40480,2014,513581
40480,2015,496554
40480,2016,438033
40480,2017,379192
40490,2001,351997
40490,2002,359350
40490,2003,360611
40490,2004,398033
40490,2005,455725
40490,2006,475885
